,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.07.10 05:12:33,2020.07.10 05:00:00,,,,2020.07.10 05:12:33,Resolved QFP,37.919837,16.048652,33S,4197439,592170,10,,1.5,0x91800022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
2020.07.10 05:34:02,2020.07.10 05:30:00,,,,2020.07.10 05:34:02,Resolved QFP,37.919332,16.048329,33S,4197383,592142,1,,1.2,0x91800822,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 05:34:12,1,No,,No,,,0 0 941 11 3 0 0 0,No,
2020.07.10 06:00:00,2020.07.10 04:00:00,,,,,,,,,,,,,,,,0.96484,60,109,,,35,,,,,,,0.29297,0.55078,0.03516,0.02734,0.01953,0.00391,0.00391,0.00391,0.00391,0.00391,46,7,3,1,2,0,0,0,0,0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 06:08:16,2020.07.10 06:00:00,,,,2020.07.10 06:08:16,Resolved QFP,37.919043,16.048073,33S,4197351,592120,7,,1.7,0xC1800822,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 06:51:31,2020.07.10 06:30:00,,,,2020.07.10 06:51:31,Resolved QFP,37.919191,16.04772,33S,4197367,592089,4,,1.3,0xD1800802,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 07:14:58,2020.07.10 07:00:00,,,,2020.07.10 07:14:58,Resolved QFP,37.919105,16.047895,33S,4197357,592105,10,,1.4,0xD1020002,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 07:34:24,2020.07.10 07:30:00,,,,2020.07.10 07:34:24,Resolved QFP,37.919081,16.047944,33S,4197355,592109,10,,1,0xD3020812,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 08:00:00,2020.07.10 06:00:00,,,,,,,,,,,,,,,,0.92578,6,1023,,,9,,,,,,,0.02734,0.89453,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,1,6,0,0,0,0,0,0,0,0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 08:24:43,2020.07.10 08:00:00,,,,2020.07.10 08:24:43,Resolved QFP,37.918549,16.047622,33S,4197295,592081,-26,,1.4,0x53120000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
