,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.08.14 08:48:26,2020.08.14 08:30:00,,,,2020.08.14 08:48:26,Resolved QFP,37.333777,11.346936,32S,4134484,707920,0,,1.8,0x06188280,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 09:40:19,2020.08.14 09:30:00,,,,2020.08.14 09:40:19,Resolved QFP,37.346307,11.344877,32S,4135870,707703,6,,1.4,0x84188680,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 10:00:00,2020.08.14 08:00:00,,,,,,,,,,,,,,,,0.92578,48,143,,,81,,,,,,,0.44141,0.01172,0.05859,0.23828,0.05859,0.01953,0.05078,0.01953,0.00391,0.00391,46,0,0,0,1,1,0,1,0,0,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 11:18:30,2020.08.14 11:00:00,,,,2020.08.14 11:18:30,Resolved QFP,37.366711,11.333658,32S,4138109,706653,-1,,1.1,0x84300681,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 12:00:00,2020.08.14 10:00:00,,,,,,,,,,,,,,,,0.83984,63,97,,,83,,,,,,,0.50391,0.01172,0.03516,0.05078,0.01953,0.01172,0.07422,0.08984,0.00391,0.00391,59,1,0,0,0,0,0,2,0,0,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 12:00:00,2020.08.14 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 12:04:35,2020.08.14 12:00:00,,,,2020.08.14 12:04:35,Resolved QFP (Uncertain),37.376548,11.325097,32S,4139182,705868,-89,,5.3,0x84300480,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 12:47:39,2020.08.14 12:30:00,,,,2020.08.14 12:47:39,Resolved QFP,37.383727,11.311309,32S,4139949,704628,18,,1.3,0xC8300481,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.14 17:07:50,1,,,,,Primary,,No,
2020.08.14 14:00:00,2020.08.14 12:00:00,,,,,,,,,,,,,,,,0.93359,79,84,,,85,,,,,,,0.62891,0.01172,0.03516,0.01953,0.01953,0.01172,0.05078,0.09766,0.00391,0.00391,78,0,0,0,0,0,0,2,0,0,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 16:00:00,2020.08.14 14:00:00,,,,,,,,,,,,,,,,0.96484,119,59,,,81,,,,,,,0.78516,0.00391,0.01172,0.01172,0.01172,0.02734,0.01953,0.02734,0.00391,0.00391,117,0,0,0,0,0,0,1,0,0,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 17:07:50,2020.08.14 17:07:50,10,37.41617,11.23898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.14 17:07:50,1,No,,No,,,1702 851 751 10 8 0 1 1,No,
2020.08.14 17:07:59,2020.08.14 17:00:00,,,,2020.08.14 17:07:59,Resolved QFP,37.420953,11.223402,32S,4143892,696747,2,,2,0x0025012A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 17:32:16,2020.08.14 17:30:00,,,,2020.08.14 17:32:16,Resolved QFP,37.423195,11.217775,32S,4144129,696243,2,,1.5,0x2000816A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 18:00:00,2020.08.14 16:00:00,,,,,,,,,,,,,,,,0.91797,59,108,,,95,,,,,,,0.34766,0.01172,0.05078,0.05859,0.08984,0.12109,0.09766,0.07422,0.03516,0.00391,55,0,0,0,0,1,1,1,1,0,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 18:14:55,2020.08.14 18:00:00,,,,2020.08.14 18:14:55,Resolved QFP,37.421694,11.213916,32S,4143955,695905,11,,1.3,0x2000017A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 18:46:28,2020.08.14 18:30:00,,,,2020.08.14 18:46:28,Resolved QFP,37.421296,11.208373,32S,4143899,695416,2,,2.9,0x0000816A,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 19:06:13,2020.08.14 19:00:00,,,,2020.08.14 19:06:13,Resolved QFP,37.421729,11.206661,32S,4143943,695263,26,,1.5,0x20009172,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 20:00:00,2020.08.14 18:00:00,,,,,,,,,,,,,,,,0.91797,29,234,,,77,,,,,,,0.41016,0.01172,0.05078,0.13672,0.17578,0.02734,0.06641,0.01953,0.00391,0.00391,26,0,0,0,1,1,0,1,0,0,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 20:33:35,2020.08.14 20:30:00,,,,2020.08.14 20:33:35,Resolved QFP,37.421142,11.20413,32S,4143873,695041,5,,1.4,0x28001112,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 21:00:11,2020.08.14 21:00:00,,,,2020.08.14 21:00:11,Unresolved QFP,37.40887,11.216071,32S,4142536,696129,-16,,25.5,0x20001050,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 22:00:00,2020.08.14 20:00:00,,,,,,,,,,,,,,,,0.91797,80,82,,,9,,,,,,,0.76172,0.10547,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,80,1,0,0,0,0,0,0,0,0,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 23:00:06,2020.08.14 23:00:00,,,,2020.08.14 23:00:06,Resolved QFP,37.412906,11.206679,32S,4142964,695288,17,,1.4,0x20855010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 01:28:50,1,,,,,Primary,,No,
2020.08.14 23:33:20,2020.08.14 23:30:00,,,,2020.08.14 23:33:20,Resolved QFP,37.410136,11.205057,32S,4142654,695151,-20,,2.6,0x080D5000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 00:00:00,2020.08.14 22:00:00,,,,,,,,,,,,,,,,0.90234,94,69,,,19,,,,,,,0.69922,0.01172,0.13672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,92,0,1,0,0,0,0,0,0,0,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 00:00:00,2020.08.15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 00:30:42,2020.08.15 00:30:00,,,,2020.08.15 00:30:42,Resolved QFP (Uncertain),37.407816,11.204927,32S,4142396,695146,124,,1.6,0x090C5000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 01:28:50,2020.08.15 01:28:50,3,37.39895,11.18587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.15 01:28:50,1,No,,No,,,1110 555 870 15 2 0 1 1,No,
2020.08.15 02:00:00,2020.08.15 00:00:00,,,,,,,,,,,,,,,,0.93359,75,89,,,17,,,,,,,0.64453,0.13672,0.11328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,73,0,2,0,0,0,0,0,0,0,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 02:05:07,2020.08.15 02:00:00,,,,2020.08.15 02:05:07,Resolved QFP,37.406356,11.198834,32S,4142221,694610,12,,0.9,0x91840022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 02:30:14,2020.08.15 02:30:00,,,,2020.08.15 02:30:14,Resolved QFP,37.40588,11.198177,32S,4142167,694553,10,,1.1,0x91840022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 04:00:00,2020.08.15 02:00:00,,,,,,,,,,,,,,,,0.91016,76,87,,,89,,,,,,,0.62109,0.07422,0.10547,0.01172,0.00391,0.01172,0.01172,0.01953,0.00391,0.00391,74,0,1,0,0,0,0,1,0,0,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 04:29:46,2020.08.15 04:00:00,,,,2020.08.15 04:29:46,Resolved QFP,37.409205,11.183987,32S,4142507,693289,-1,,1,0xD1820802,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 05:14:17,2020.08.15 05:00:00,,,,2020.08.15 05:14:17,Resolved QFP,37.415879,11.174092,32S,4143227,692396,7,,3.2,0x52020802,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 05:39:09,2020.08.15 05:30:00,,,,2020.08.15 05:39:09,Resolved QFP,37.418953,11.167706,32S,4143555,691823,9,,1.3,0x53020810,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 06:00:00,2020.08.15 04:00:00,,,,,,,,,,,,,,,,0.92578,46,121,,,95,,,,,,,0.26953,0.01172,0.07422,0.11328,0.16797,0.06641,0.12109,0.05078,0.01953,0.00391,42,0,0,0,0,0,1,1,2,0,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 06:07:18,2020.08.15 06:00:00,,,,2020.08.15 06:07:18,Resolved QFP,37.423707,11.162266,32S,4144072,691329,12,,1.2,0x530A8000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 07:30:47,1,,,,,Primary,,No,
2020.08.15 06:40:02,2020.08.15 06:30:00,,,,2020.08.15 06:40:02,Resolved QFP,37.430108,11.15425,32S,4144766,690603,33,,0.9,0x541A8010,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 07:08:49,2020.08.15 07:00:00,,,,2020.08.15 07:08:49,Resolved QFP,37.434951,11.149389,32S,4145293,690161,15,,0.9,0x551A8200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 07:30:47,2020.08.15 07:30:47,3,37.42468,11.15028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.15 07:30:47,1,No,,No,,,2801 1401 1207 11 1 0 2 0,No,
2020.08.15 07:30:55,2020.08.15 07:30:00,,,,2020.08.15 07:30:55,Resolved QFP,37.437292,11.145741,32S,4145546,689832,-9,,1,0x561A8000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 08:00:00,2020.08.15 06:00:00,,,,,,,,,,,,,,,,0.93359,20,374,,,89,,,,,,,0.09766,0.01172,0.11328,0.21484,0.30859,0.05859,0.03516,0.07422,0.00391,0.00391,16,0,0,0,0,2,2,1,0,0,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 08:00:05,2020.08.15 08:00:00,,,,2020.08.15 08:00:05,Resolved QFP,37.442569,11.141679,32S,4146123,689460,-2,,1,0x561A8200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 08:30:30,2020.08.15 08:30:00,,,,2020.08.15 08:30:30,Resolved QFP,37.449105,11.135549,32S,4146836,688901,203,,2.1,0x06088200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 09:09:27,2020.08.15 09:00:00,,,,2020.08.15 09:09:27,Resolved QFP,37.460912,11.129746,32S,4148135,688358,13,,1.2,0x061A8680,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 09:41:41,2020.08.15 09:30:00,,,,2020.08.15 09:41:41,Resolved QFP,37.468372,11.127575,32S,4148958,688147,8,,1.1,0x861A8680,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 10:00:00,2020.08.15 08:00:00,,,,,,,,,,,,,,,,0.91016,52,117,,,95,,,,,,,0.30859,0.01172,0.06641,0.11328,0.08203,0.07422,0.12109,0.08984,0.00391,0.00391,48,0,0,0,0,1,0,2,0,0,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 10:13:32,2020.08.15 10:00:00,,,,2020.08.15 10:13:32,Resolved QFP,37.475352,11.12441,32S,4149726,687850,3,,1.7,0x86108680,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 12:01:58,1,,,,,Primary,,No,
2020.08.15 11:30:17,2020.08.15 11:30:00,,,,2020.08.15 11:30:17,Resolved QFP,37.494317,11.11648,32S,4151815,687101,-4,,1.7,0x84300680,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 12:00:00,2020.08.15 10:00:00,,,,,,,,,,,,,,,,0.91797,29,190,,,85,,,,,,,0.28516,0.01953,0.04297,0.02734,0.02734,0.08203,0.29297,0.13672,0.00391,0.00391,25,1,0,0,0,0,0,2,1,0,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 12:00:00,2020.08.15 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 12:01:58,2020.08.15 12:01:58,4,37.48615,11.1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.15 12:01:58,1,No,,No,,,1275 1275 1832 9 0 0 1 0,No,
2020.08.15 12:02:22,2020.08.15 12:00:00,,,,2020.08.15 12:02:22,Resolved QFP,37.493693,11.110464,32S,4151734,686571,8,,1.4,0x8C300685,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 12:38:50,2020.08.15 12:30:00,,,,2020.08.15 12:38:50,Resolved QFP,37.495378,11.104543,32S,4151909,686043,3,,2,0x84300485,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 13:20:08,2020.08.15 13:00:00,,,,2020.08.15 13:20:08,Resolved QFP,37.496723,11.096658,32S,4152043,685343,13,,1.1,0x8C30048D,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 14:00:00,2020.08.15 12:00:00,,,,,,,,,,,,,,,,0.82422,17,426,,,73,,,,,,,0.19922,0.01172,0.03516,0.03516,0.02734,0.34766,0.16797,0.00391,0.00391,0.00391,14,0,0,0,0,0,2,1,0,0,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 14:17:33,2020.08.15 14:00:00,,,,2020.08.15 14:17:33,Resolved QFP,37.50216,11.08459,32S,4152622,684262,21,,0.8,0xC025058D,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 14:51:23,2020.08.15 14:30:00,,,,2020.08.15 14:51:23,Resolved QFP,37.505237,11.07698,32S,4152949,683582,-8,,1.3,0x4025040D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 15:34:17,2020.08.15 15:30:00,,,,2020.08.15 15:34:17,Resolved QFP,37.510144,11.065488,32S,4153471,682554,12,,1.1,0x4005050D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 16:00:00,2020.08.15 14:00:00,,,,,,,,,,,,,,,,0.91016,30,198,,,71,,,,,,,0.23047,0.01172,0.05078,0.04297,0.13672,0.38672,0.03516,0.00391,0.00391,0.00391,27,0,0,0,0,1,1,1,0,0,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 17:34:12,2020.08.15 17:30:00,,,,2020.08.15 17:34:12,Resolved QFP,37.541013,11.036658,32S,4156841,679932,452,,17.8,0x0004012A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.15 18:28:26,1,,,,,Primary,,No,
2020.08.15 18:00:00,2020.08.15 16:00:00,,,,,,,,,,,,,,,,0.93359,83,92,,,87,,,,,,,0.50391,0.01172,0.08203,0.05078,0.12891,0.02734,0.01953,0.05078,0.00391,0.00391,80,0,0,0,1,0,2,1,0,0,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 18:00:16,2020.08.15 18:00:00,,,,2020.08.15 18:00:16,Resolved QFP,37.537062,11.037041,32S,4156403,679975,9,,1,0x2000817E,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 18:28:26,2020.08.15 18:28:26,2,37.54472,11.02575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.15 18:28:26,1,No,,No,,,1004 1004 1227 12 1 0 0 1,No,
2020.08.15 18:30:06,2020.08.15 18:30:00,,,,2020.08.15 18:30:06,Resolved QFP,37.53988,11.03308,32S,4156708,679618,10,,1.3,0x2000817A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 20:00:00,2020.08.15 18:00:00,,,,,,,,,,,,,,,,0.93359,54,124,,,37,,,,,,,0.55078,0.01172,0.09766,0.07422,0.16016,0.00391,0.00391,0.00391,0.00391,0.00391,52,0,0,0,2,0,0,0,0,0,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 20:32:23,2020.08.15 20:30:00,,,,2020.08.15 20:32:23,Resolved QFP,37.554119,11.018808,32S,4158261,678323,1,,2.1,0x20001152,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 22:00:00,2020.08.15 20:00:00,,,,,,,,,,,,,,,,0.92578,92,71,,,1,,,,,,,0.86328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,91,0,0,0,0,0,0,0,0,0,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.15 23:34:32,2020.08.15 23:30:00,,,,2020.08.15 23:34:32,Resolved QFP,37.560924,11.006712,32S,4158993,677239,20,,2.4,0x208D1200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 00:00:00,2020.08.15 22:00:00,,,,,,,,,,,,,,,,0.91797,116,58,,,7,,,,,,,0.83984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,116,1,0,0,0,0,0,0,0,0,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 00:00:00,2020.08.16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 00:00:04,2020.08.16 00:00:00,,,,2020.08.16 00:00:04,Resolved QFP (Uncertain),37.562944,11.002954,32S,4159210,676902,-13,,1.5,0x088D5000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 00:30:07,2020.08.16 00:30:00,,,,2020.08.16 00:30:07,Resolved QFP,37.563497,11.000713,32S,4159267,676703,12,,1,0x09855A00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 01:06:54,2020.08.16 01:00:00,,,,2020.08.16 01:06:54,Unresolved QFP,37.566627,10.99484,32S,4159603,676176,-48,,25.5,0x00054200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 02:00:00,2020.08.16 00:00:00,,,,,,,,,,,,,,,,0.69141,88,57,,,21,,,,,,,0.58984,0.01953,0.02734,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,87,0,1,0,0,0,0,0,0,0,,,2020.08.16 04:37:10,1,,,,,Primary,,No,
2020.08.16 02:00:06,2020.08.16 02:00:00,,,,2020.08.16 02:00:06,Resolved QFP,37.573136,10.984301,32S,4160306,675230,3,,0.9,0x81844822,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 02:31:52,2020.08.16 02:30:00,,,,2020.08.16 02:31:52,Resolved QFP,37.576361,10.9795,32S,4160655,674799,8,,1.7,0x91040822,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 03:03:48,2020.08.16 03:00:00,,,,2020.08.16 03:03:48,Resolved QFP,37.578625,10.976462,32S,4160900,674525,49,,3.3,0x91000822,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 04:00:00,2020.08.16 02:00:00,,,,,,,,,,,,,,,,0.91797,107,62,,,3,,,,,,,0.83984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,107,0,0,0,0,0,0,0,0,0,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 04:02:27,2020.08.16 04:00:00,,,,2020.08.16 04:02:27,Resolved QFP,37.585182,10.958394,32S,4161595,672914,6,,1.1,0xD1020802,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 04:37:10,2020.08.16 04:37:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.16 04:37:10,1,No,,No,,,1260 315 605 17 3 0 2 2,No,
2020.08.16 05:11:35,2020.08.16 05:00:00,,,,2020.08.16 05:11:35,Resolved QFP,37.601505,10.941607,32S,4163375,671395,5,,1.1,0x53020812,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 05:41:30,2020.08.16 05:30:00,,,,2020.08.16 05:41:30,Resolved QFP,37.610195,10.934661,32S,4164327,670762,9,,1.3,0x53020810,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 06:00:00,2020.08.16 04:00:00,,,,,,,,,,,,,,,,0.90234,68,90,,,97,,,,,,,0.42578,0.01953,0.05859,0.05859,0.05078,0.04297,0.14453,0.04297,0.01172,0.00391,63,0,0,0,1,0,1,1,1,0,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 06:12:59,2020.08.16 06:00:00,,,,2020.08.16 06:12:59,Resolved QFP,37.617598,10.92937,32S,4165138,670278,17,,1.3,0x53028010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 06:36:19,2020.08.16 06:30:00,,,,2020.08.16 06:36:19,Resolved QFP,37.622314,10.927939,32S,4165659,670141,9,,1,0x561A8000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 07:10:10,2020.08.16 07:00:00,,,,2020.08.16 07:10:10,Resolved QFP,37.631766,10.924279,32S,4166701,669796,6,,1,0x531A8000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 10:19:17,1,,,,,Primary,,No,
2020.08.16 07:31:23,2020.08.16 07:30:00,,,,2020.08.16 07:31:23,Resolved QFP,37.640835,10.922048,32S,4167704,669579,4,,1.4,0x461A8200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.08.16 18:14:25,1,,,,,Primary,,No,
2020.08.16 08:00:00,2020.08.16 06:00:00,,,,,,,,,,,,,,,,0.92578,39,179,,,69,,,,,,,0.30078,0.01172,0.04297,0.16016,0.07422,0.10547,0.21484,0.00391,0.00391,0.00391,36,0,0,0,0,0,3,1,0,0,,,2020.08.16 18:14:25,1,,,,,Primary,,No,
2020.08.16 08:34:50,2020.08.16 08:34:50,681,37.64713,10.53607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.08.16 08:34:50,1,,,,,,,,Incomplete Transfer
