No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
37,2020.06.29 09:33:29,2020.06.29 09:33:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.06.29 13:34:06,1,,,,Update TPF 2020.06.27 08:33:32 00 00 35 44 32 44 32 32 39 36 2C 42 31 2C 35 45 46 37 30 34 35 43 00,,,No,
38,2020.06.29 12:00:00,2020.06.29 10:00:00,,,,,,,,,,,,,,,,0.391%,0.0,0.0,,,1.0,,,,,,,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.06.29 14:30:20,1,,,,,Primary,,No,
39,2020.06.29 12:00:00,2020.06.29 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,2020.06.29 14:30:20,1,,,,,Primary,,No,
40,2020.06.29 13:34:06,2020.06.29 13:34:06,3.0,37.91202,16.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,Hit,2020.06.29 13:34:06,1,,,,,,,No,
41,2020.06.29 14:00:00,2020.06.29 12:00:00,,,,,,,,,,,,,,,,0.391%,0.0,0.0,,,1.0,,,,,,,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.06.29 14:30:20,1,,,,,Primary,,No,
42,2020.06.29 14:30:20,2020.06.29 14:30:20,4.0,37.91202,16.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.06.29 14:30:20,1,No,,No,,,0 0 0 2 0 0 0 0,No,
43,2020.07.09 22:38:29,2020.07.09 22:38:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,2020.07.09 22:48:42,1,,,,,,,Yes,
44,2020.07.09 22:48:42,2020.07.09 22:48:42,2.0,37.92717,16.10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.09 22:48:42,1,,,,,,,Yes,
45,2020.07.10 00:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,2020.07.10 05:34:12,1,,,,,Primary,,No,
46,2020.07.10 00:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,2020.07.10 05:34:12,1,,,,,Primary,,No,
